term,pleasure,arousal,dominance
masturbate,5.45,5.67,5.63
material,5.26,4.05,5.12
measles,2.74,5.06,4.13
medicine,5.67,4.4,4.7
meek,3.87,3.8,3.67
melody,7.07,4.98,5.46
memories,7.48,6.1,5.88
memory,6.62,5.42,5.11
menace,2.88,5.52,4.98
merry,7.9,5.9,6.64
messy,3.15,3.34,4.75
metal,4.95,3.79,5.38
method,5.56,3.85,5.67
mighty,6.54,5.61,7.23
mildew,3.17,4.08,4.4
milk,5.95,3.68,5.83
millionaire,8.03,6.14,6.97
mind,6.68,5.0,6.37
miracle,8.6,7.65,5.35
mischief,5.57,5.76,5.56
misery,1.93,5.17,2.55
mistake,2.86,5.18,3.86
mobility,6.83,5.0,6.43
modest,5.76,3.98,4.96
mold,3.55,4.07,4.33
moment,5.76,3.83,4.81
money,7.59,5.7,6.25
month,5.15,4.03,4.85
moody,3.2,4.18,4.39
moral,6.2,4.49,5.9
morbid,2.87,5.06,4.34
morgue,1.92,4.84,3.61
mosquito,2.8,4.78,4.51
mother,8.39,6.13,5.74
mountain,6.59,5.49,5.46
movie,6.86,4.93,5.0
mucus,3.34,3.41,4.8
muddy,4.44,4.13,4.73
muffin,6.57,4.76,5.51
murderer,1.53,7.47,3.77
muscular,6.82,5.47,6.58
museum,5.54,3.6,5.32
mushroom,5.78,4.72,5.52
music,8.13,5.32,6.39
mutation,3.91,4.84,4.07
mutilate,1.82,6.41,3.41
mystic,6.0,4.84,5.52
naked,6.34,5.8,6.0
name,5.55,4.25,5.16
narcotic,4.29,4.93,4.44
nasty,3.58,4.89,5.0
natural,6.59,4.09,5.57
nature,7.65,4.37,4.95
nectar,6.9,3.89,4.54
needle,3.82,5.36,3.95
neglect,2.63,4.83,3.85
nervous,3.29,6.59,3.56
neurotic,4.45,5.13,4.41
news,5.3,5.17,4.6
nice,6.55,4.38,5.58
nightmare,1.91,7.59,3.68
nipple,6.27,5.56,5.57
noisy,5.02,6.38,4.93
nonchalant,4.74,3.12,4.31
nonsense,4.61,4.17,4.9
noose,3.76,4.39,4.17
nourish,6.46,4.29,5.8
nude,6.82,6.41,5.96
nuisance,3.27,4.49,4.36
nun,4.93,2.93,4.93
nurse,6.08,4.84,4.84
nursery,5.73,4.04,5.18
obesity,2.73,3.87,3.74
obey,4.52,4.23,4.26
obnoxious,3.5,4.74,5.39
obscene,4.23,5.04,4.48
obsession,4.52,6.41,4.77
ocean,7.12,4.95,5.53
odd,4.82,4.27,4.77
offend,2.76,5.56,3.73
office,5.24,4.08,5.59
opinion,6.28,4.89,5.53
optimism,6.95,5.34,6.61
option,6.49,4.74,6.34
orchestra,6.02,3.52,5.17
orgasm,8.32,8.1,6.83
outdoors,7.47,5.92,6.27
outrage,3.52,6.83,5.26
outstanding,7.75,6.24,6.4
overcast,3.65,3.46,4.2
overwhelmed,4.19,7.0,3.89
owl,5.8,3.98,5.82
pain,2.13,6.5,3.71
paint,5.62,4.1,5.75
palace,7.19,5.1,5.69
pamphlet,4.79,3.62,4.63
pancakes,6.08,4.06,5.76
panic,3.12,7.02,3.2
paper,5.2,2.5,4.47
paradise,8.72,5.12,6.03
paralysis,1.98,4.73,2.56
part,5.11,3.82,4.75
party,7.86,6.69,5.83
passage,5.28,4.36,5.02
passion,8.03,7.26,6.13
pasta,6.69,4.94,5.8
patent,5.29,3.5,4.9
patient,5.29,4.21,4.9
patriot,6.71,5.17,5.9
peace,7.72,2.95,5.45
penalty,2.83,5.1,3.95
pencil,5.22,3.14,4.78
penis,5.9,5.54,5.92
penthouse,6.81,5.52,6.52
people,7.33,5.94,6.14
perfection,7.25,5.95,6.71
perfume,6.76,5.05,5.93
person,6.32,4.19,5.35
pervert,2.79,6.26,4.72
pest,3.13,5.62,5.29
pet,6.79,5.1,5.85
phase,5.17,3.98,4.65
pie,6.41,4.2,5.35
pig,5.07,4.2,5.34
pillow,7.92,2.97,4.56
pinch,3.83,4.59,4.76
pistol,4.2,6.15,5.05
pity,3.37,3.72,4.12
pizza,6.65,5.24,5.69
plain,4.39,3.52,4.71
plane,6.43,6.14,4.78
plant,5.98,3.62,4.71
pleasure,8.28,5.74,6.15
poetry,5.86,4.0,5.31
poison,1.98,6.05,3.1
politeness,7.18,3.74,5.74
pollute,1.85,6.08,4.92
poster,5.34,3.93,4.91
poverty,1.67,4.87,3.21
power,6.54,6.67,7.28
powerful,6.84,5.83,7.19
prairie,5.75,3.41,4.62
present,6.95,5.12,5.83
pressure,3.38,6.07,3.45
prestige,7.26,5.86,6.9
pretty,7.75,6.03,5.5
prick,3.98,4.7,4.47
pride,7.0,5.83,7.06
priest,6.42,4.41,4.88
prison,2.05,5.7,4.2
privacy,5.88,4.12,5.66
profit,7.63,6.68,5.85
progress,7.73,6.02,6.76
